account_age,intl_plan,voice_mail_plan,n_voice_mails,n_day_calls,sum_day_charges,n_evening_calls,sum_evening_charges,n_night_calls,sum_night_charges,n_intl_calls,sum_intl_charges,n_customer_service_calls,churn
50,0,0,0.0,90.0,26.71,72.0,18.98,111.0,8.16,2.0,1.65,1.0,0
82,0,0,0.0,109.0,51.05,100.0,15.39,73.0,12.15,4.0,3.16,0.0,1
144,0,0,0.0,117.0,10.47,85.0,6.55,99.0,7.79,7.0,2.21,4.0,1
70,0,0,0.0,98.0,28.93,102.0,13.19,76.0,10.29,2.0,4.05,1.0,0
144,0,0,0.0,99.0,34.19,74.0,25.8,119.0,10.08,2.0,3.56,1.0,0
55,0,1,25.0,123.0,28.15,95.0,11.57,90.0,7.91,2.0,2.97,3.0,0
70,0,1,24.0,101.0,42.42,98.0,22.07,68.0,10.02,4.0,2.65,1.0,0
106,0,0,0.0,96.0,35.8,85.0,21.18,88.0,8.61,1.0,3.35,2.0,1
128,0,1,29.0,104.0,30.48,86.0,19.2,78.0,14.54,7.0,2.32,0.0,0
94,0,0,0.0,105.0,26.84,101.0,13.18,84.0,8.53,5.0,2.16,4.0,1
111,0,0,0.0,118.0,36.43,76.0,17.72,98.0,8.21,2.0,3.24,1.0,0
74,0,1,35.0,104.0,26.2,84.0,10.49,57.0,9.09,9.0,2.94,2.0,0
82,0,0,0.0,61.0,24.46,105.0,16.57,94.0,4.93,2.0,3.0,1.0,0
80,0,0,0.0,100.0,21.13,107.0,14.71,62.0,11.39,9.0,2.13,1.0,0
78,0,0,0.0,93.0,42.99,112.0,15.16,105.0,11.88,7.0,2.57,3.0,0
90,0,0,0.0,71.0,30.45,81.0,16.2,91.0,5.75,7.0,2.86,3.0,0
104,0,0,0.0,106.0,47.33,113.0,6.89,137.0,7.34,5.0,2.65,1.0,0
73,0,0,0.0,110.0,27.22,72.0,18.13,72.0,7.83,4.0,3.51,0.0,0
99,0,0,0.0,87.0,33.69,76.0,17.62,113.0,8.59,3.0,2.35,4.0,0
120,0,0,0.0,131.0,36.06,104.0,17.8,96.0,7.52,5.0,1.43,1.0,1
108,0,0,0.0,137.0,30.31,76.0,16.07,102.0,5.81,5.0,3.94,0.0,0
135,0,0,0.0,82.0,25.79,105.0,10.12,100.0,8.1,6.0,2.84,0.0,0
95,0,0,0.0,99.0,22.95,106.0,15.61,102.0,11.04,9.0,3.38,1.0,0
122,0,0,0.0,94.0,28.99,109.0,14.76,75.0,11.19,2.0,3.05,1.0,0
95,0,0,0.0,65.0,40.48,98.0,15.91,115.0,8.55,4.0,3.19,4.0,0
36,0,1,29.0,102.0,47.84,76.0,17.19,113.0,8.42,6.0,2.43,2.0,0
93,0,1,21.0,131.0,20.04,115.0,13.98,86.0,9.76,3.0,2.65,1.0,0
141,0,1,32.0,91.0,25.26,97.0,11.14,142.0,9.87,1.0,2.73,1.0,0
157,0,0,0.0,90.0,39.07,121.0,12.57,108.0,10.86,7.0,2.59,3.0,0
120,0,0,0.0,100.0,28.05,83.0,26.96,86.0,5.36,8.0,2.24,1.0,0
103,0,0,0.0,117.0,31.45,94.0,18.98,91.0,10.03,2.0,3.4,2.0,0
98,0,0,0.0,117.0,27.37,113.0,16.23,113.0,10.25,4.0,3.27,4.0,0
125,0,0,0.0,108.0,21.54,90.0,17.51,114.0,11.15,7.0,3.59,1.0,0
63,0,0,0.0,125.0,10.01,59.0,14.42,88.0,9.51,3.0,2.54,1.0,0
36,1,1,42.0,89.0,33.46,122.0,21.67,126.0,6.22,6.0,5.4,0.0,1
64,0,0,0.0,83.0,27.64,109.0,12.95,122.0,2.59,3.0,3.83,1.0,0
74,0,0,0.0,114.0,48.03,48.0,18.69,115.0,7.65,4.0,2.54,1.0,1
112,0,1,36.0,117.0,19.33,82.0,13.39,118.0,7.99,3.0,2.7,2.0,0
97,0,0,0.0,125.0,40.77,111.0,18.26,81.0,6.45,5.0,2.35,2.0,0
46,0,0,0.0,92.0,35.73,77.0,19.32,116.0,9.0,7.0,3.54,1.0,0
41,0,1,22.0,102.0,36.35,86.0,12.05,123.0,6.4,3.0,1.94,0.0,0
121,0,0,0.0,103.0,32.42,117.0,15.6,103.0,9.94,4.0,2.65,3.0,0
193,0,0,0.0,124.0,29.05,95.0,11.25,89.0,5.08,3.0,3.13,1.0,0
130,0,0,0.0,119.0,26.21,98.0,9.37,117.0,10.23,5.0,2.48,2.0,0
85,0,0,0.0,52.0,34.24,104.0,19.5,106.0,11.36,3.0,3.24,1.0,0
162,0,0,0.0,108.0,12.02,87.0,13.39,82.0,6.97,3.0,2.46,4.0,1
61,0,1,27.0,124.0,31.88,103.0,12.46,129.0,10.16,6.0,1.73,4.0,1
92,0,0,0.0,90.0,15.59,123.0,16.46,86.0,7.88,4.0,2.48,2.0,0
131,0,1,36.0,115.0,36.41,117.0,13.74,102.0,11.91,4.0,2.57,3.0,0
90,0,0,0.0,92.0,24.74,114.0,18.5,123.0,6.61,2.0,2.94,3.0,0
75,0,0,0.0,125.0,28.27,86.0,13.45,80.0,11.55,5.0,1.65,1.0,0
78,0,0,0.0,115.0,39.27,140.0,19.58,120.0,11.76,3.0,2.57,1.0,0
82,0,0,0.0,96.0,34.05,102.0,17.1,60.0,9.27,1.0,1.92,4.0,0
163,0,0,0.0,109.0,33.49,128.0,17.22,80.0,9.29,10.0,2.46,1.0,0
91,1,0,0.0,112.0,22.08,83.0,14.73,130.0,11.12,3.0,3.02,3.0,0
75,0,1,21.0,97.0,29.89,106.0,18.49,134.0,10.69,4.0,1.43,5.0,0
91,0,0,0.0,106.0,34.53,113.0,17.86,129.0,8.8,3.0,3.24,3.0,0
127,0,1,36.0,117.0,31.14,76.0,10.78,71.0,11.85,8.0,3.02,1.0,0
113,0,1,23.0,101.0,34.85,60.0,12.92,59.0,7.14,5.0,2.75,2.0,0
110,0,0,0.0,115.0,25.25,84.0,23.49,112.0,8.71,3.0,3.35,1.0,0
120,0,1,39.0,68.0,34.05,97.0,18.73,116.0,11.42,4.0,2.84,0.0,0
157,0,1,28.0,107.0,32.74,74.0,16.62,139.0,4.94,5.0,1.84,3.0,0
103,0,0,0.0,47.0,41.91,84.0,16.62,96.0,9.02,4.0,3.16,1.0,0
117,1,0,0.0,86.0,28.41,87.0,15.09,132.0,11.22,7.0,3.81,2.0,1
140,0,0,0.0,101.0,39.42,94.0,13.61,98.0,4.97,6.0,3.86,3.0,0
127,0,0,0.0,91.0,24.94,78.0,17.3,110.0,9.15,3.0,3.7,1.0,0
83,1,0,0.0,87.0,46.16,126.0,18.39,105.0,5.45,4.0,3.16,1.0,0
121,0,0,0.0,121.0,30.86,98.0,18.56,103.0,7.27,5.0,2.3,1.0,0
145,0,1,43.0,97.0,43.81,95.0,13.78,86.0,12.91,4.0,3.0,2.0,0
113,0,0,0.0,99.0,32.95,125.0,18.82,67.0,7.75,6.0,2.86,1.0,0
117,0,0,0.0,119.0,17.48,91.0,17.57,105.0,13.46,7.0,2.73,1.0,0
65,0,0,0.0,116.0,31.94,117.0,13.4,86.0,10.23,6.0,2.03,1.0,0
56,0,0,0.0,112.0,38.42,118.0,21.12,142.0,6.32,11.0,1.86,1.0,0
96,0,0,0.0,115.0,44.27,46.0,12.41,87.0,12.13,4.0,3.11,5.0,0
151,0,0,0.0,116.0,30.38,138.0,24.83,101.0,11.97,4.0,2.65,0.0,0
83,0,0,0.0,120.0,57.36,116.0,19.33,114.0,6.93,7.0,4.27,0.0,1
139,0,1,23.0,129.0,26.79,96.0,21.0,112.0,11.66,2.0,3.7,0.0,0
6,0,0,0.0,117.0,31.21,72.0,21.82,79.0,8.04,2.0,2.75,1.0,0
115,0,1,24.0,124.0,24.16,129.0,15.59,114.0,7.42,4.0,2.59,1.0,0
87,0,0,0.0,97.0,23.17,108.0,14.64,101.0,6.19,5.0,1.92,0.0,0
141,0,0,0.0,110.0,36.91,111.0,20.53,103.0,11.41,6.0,3.24,0.0,0
141,0,1,36.0,99.0,31.88,116.0,20.52,105.0,10.33,5.0,2.84,3.0,0
62,0,0,0.0,103.0,16.81,122.0,11.51,82.0,10.65,1.0,3.29,1.0,0
146,0,0,0.0,151.0,35.07,89.0,12.63,91.0,7.52,3.0,1.65,1.0,0
92,0,1,33.0,92.0,41.33,92.0,18.17,104.0,10.29,2.0,3.27,2.0,0
185,0,1,31.0,126.0,32.27,133.0,13.88,126.0,11.92,3.0,2.03,1.0,0
148,0,0,0.0,102.0,34.34,128.0,20.67,90.0,11.76,3.0,2.94,1.0,0
94,0,1,38.0,124.0,28.92,116.0,16.43,73.0,4.77,4.0,3.46,1.0,0
32,0,0,0.0,87.0,39.25,90.0,15.93,53.0,6.93,2.0,1.7,0.0,0
68,0,0,0.0,105.0,40.31,105.0,19.0,79.0,4.38,2.0,3.56,1.0,0
64,0,1,27.0,91.0,30.96,98.0,14.42,86.0,7.41,5.0,2.86,2.0,0
25,0,0,0.0,87.0,20.28,101.0,17.98,86.0,12.1,4.0,2.84,3.0,0
65,0,0,0.0,87.0,19.86,93.0,15.21,150.0,8.21,2.0,3.81,1.0,0
179,0,0,0.0,92.0,37.26,125.0,12.7,104.0,11.01,5.0,1.65,0.0,0
94,0,0,0.0,104.0,42.94,125.0,14.37,106.0,7.69,7.0,3.0,2.0,0
62,0,0,0.0,91.0,25.01,107.0,16.18,115.0,8.78,3.0,3.29,0.0,0
127,0,0,0.0,103.0,34.36,86.0,19.5,113.0,8.78,3.0,3.11,2.0,0
116,0,0,0.0,93.0,29.5,76.0,16.5,112.0,9.36,10.0,4.37,3.0,0
70,0,0,0.0,122.0,39.46,112.0,24.85,112.0,9.05,0.0,0.0,3.0,0
94,1,1,23.0,125.0,33.51,136.0,18.23,103.0,12.7,5.0,2.57,4.0,0
126,0,0,0.0,94.0,9.89,118.0,11.79,91.0,6.16,1.0,3.21,5.0,1
67,0,1,36.0,111.0,19.65,94.0,20.2,103.0,7.65,12.0,2.67,2.0,0
19,0,0,0.0,98.0,31.64,57.0,21.62,127.0,9.63,7.0,3.94,2.0,0
170,1,0,0.0,68.0,44.18,122.0,20.83,121.0,6.05,3.0,2.27,3.0,0
73,0,0,0.0,145.0,36.43,135.0,22.82,92.0,10.85,13.0,2.92,1.0,0
106,0,0,0.0,74.0,26.98,139.0,5.47,103.0,8.93,4.0,2.75,1.0,0
93,0,0,0.0,71.0,46.17,108.0,19.5,121.0,3.48,3.0,2.94,2.0,0
164,0,0,0.0,111.0,27.3,126.0,13.87,112.0,8.42,3.0,2.43,1.0,0
51,0,0,0.0,109.0,39.51,95.0,15.93,107.0,10.4,3.0,2.46,1.0,0
107,0,0,0.0,85.0,22.75,94.0,15.34,115.0,5.05,4.0,2.4,0.0,0
130,0,0,0.0,109.0,30.07,104.0,7.71,69.0,10.71,2.0,2.57,1.0,0
80,0,0,0.0,74.0,35.68,77.0,16.58,119.0,9.37,4.0,2.38,2.0,0
94,0,0,0.0,118.0,23.38,88.0,17.27,131.0,6.75,2.0,3.62,0.0,0
118,0,1,23.0,52.0,49.22,111.0,14.16,88.0,5.36,4.0,2.57,1.0,0
117,0,1,23.0,86.0,33.68,86.0,15.05,92.0,8.12,6.0,1.84,1.0,0
78,0,0,0.0,119.0,25.45,115.0,15.49,126.0,11.77,8.0,2.62,0.0,0
208,0,0,0.0,67.0,55.51,113.0,14.99,102.0,8.18,6.0,2.89,2.0,1
131,1,1,26.0,101.0,49.79,97.0,16.97,127.0,11.49,7.0,3.73,4.0,1
63,0,0,0.0,64.0,14.11,106.0,15.05,89.0,11.06,3.0,3.51,0.0,0
53,0,1,24.0,146.0,24.77,136.0,18.74,96.0,11.25,5.0,3.54,3.0,0
62,0,0,0.0,101.0,30.99,93.0,27.9,131.0,11.03,1.0,3.02,2.0,0
97,0,0,0.0,86.0,37.06,94.0,15.64,110.0,10.82,8.0,1.73,3.0,0
105,0,0,0.0,109.0,23.9,51.0,15.18,83.0,9.76,3.0,1.84,2.0,0
157,0,0,0.0,105.0,25.96,80.0,21.89,93.0,8.91,4.0,2.54,1.0,0
66,0,1,36.0,76.0,18.14,77.0,17.83,117.0,8.57,2.0,3.27,1.0,0
122,0,0,0.0,98.0,41.45,72.0,7.13,84.0,8.09,8.0,3.7,2.0,0
38,0,0,0.0,94.0,33.05,95.0,15.87,90.0,10.05,5.0,2.92,3.0,0
106,0,0,0.0,95.0,36.36,70.0,12.91,124.0,11.7,5.0,3.29,3.0,0
99,0,0,0.0,112.0,36.92,89.0,20.97,89.0,10.17,7.0,4.27,3.0,0
99,0,0,0.0,72.0,40.99,98.0,13.23,109.0,8.47,10.0,3.13,1.0,0
144,1,0,0.0,100.0,34.6,103.0,21.05,94.0,8.74,11.0,3.21,0.0,0
82,0,1,24.0,131.0,26.38,106.0,20.78,68.0,5.51,3.0,2.89,1.0,0
86,0,1,31.0,139.0,28.49,118.0,9.61,121.0,11.11,6.0,3.29,1.0,0
70,1,0,0.0,98.0,38.54,115.0,19.39,93.0,3.29,4.0,4.75,2.0,1
93,0,0,0.0,93.0,30.48,98.0,15.18,131.0,10.13,6.0,3.11,3.0,0
93,0,0,0.0,89.0,25.74,76.0,15.84,120.0,7.76,3.0,2.94,0.0,0
120,0,0,0.0,80.0,30.6,82.0,19.06,91.0,11.94,7.0,1.27,3.0,0
136,0,0,0.0,121.0,42.53,118.0,22.7,114.0,6.8,2.0,3.51,1.0,1
106,0,0,0.0,121.0,37.91,98.0,9.36,107.0,8.49,12.0,1.92,0.0,0
81,0,0,0.0,116.0,31.21,98.0,12.97,99.0,9.55,6.0,3.29,3.0,0
127,0,1,22.0,114.0,28.22,103.0,14.83,68.0,11.02,6.0,2.75,1.0,0
65,0,0,0.0,112.0,23.14,96.0,23.2,104.0,9.91,2.0,1.19,1.0,0
35,0,0,0.0,113.0,25.38,122.0,20.59,104.0,7.84,6.0,2.4,2.0,0
88,0,0,0.0,97.0,11.12,76.0,14.3,113.0,10.62,1.0,3.73,2.0,0
65,0,0,0.0,111.0,36.28,94.0,19.93,123.0,11.25,4.0,0.73,1.0,0
123,0,0,0.0,85.0,35.17,78.0,20.8,136.0,9.97,2.0,2.08,3.0,0
126,0,1,27.0,78.0,31.65,83.0,16.12,139.0,3.44,3.0,2.59,2.0,0
104,0,1,23.0,136.0,47.63,92.0,18.74,102.0,6.16,3.0,3.59,4.0,0
45,0,1,22.0,84.0,33.42,92.0,26.62,108.0,7.35,3.0,3.21,0.0,0
93,1,0,0.0,109.0,53.04,100.0,11.0,74.0,9.79,2.0,2.84,0.0,1
63,1,1,36.0,110.0,33.83,111.0,24.76,92.0,8.89,6.0,2.97,1.0,0
100,0,0,0.0,96.0,34.53,126.0,18.45,122.0,8.14,2.0,3.65,3.0,0
53,0,0,0.0,97.0,28.7,87.0,18.73,113.0,6.94,2.0,2.94,0.0,0
92,1,0,0.0,140.0,29.43,105.0,20.43,117.0,10.49,5.0,2.43,1.0,0
139,0,0,0.0,106.0,22.85,98.0,17.96,125.0,8.71,2.0,2.75,5.0,1
110,0,1,40.0,103.0,34.44,128.0,10.1,98.0,10.57,9.0,2.43,2.0,0
110,0,0,0.0,117.0,12.67,98.0,17.07,101.0,8.65,7.0,2.65,3.0,0
215,0,0,0.0,148.0,14.21,91.0,10.28,110.0,10.2,9.0,2.89,0.0,0
73,0,0,0.0,86.0,32.67,116.0,14.33,87.0,6.29,6.0,2.54,1.0,0
138,0,0,0.0,89.0,37.43,125.0,7.51,79.0,8.79,5.0,3.48,0.0,0
137,1,0,0.0,95.0,22.97,102.0,11.4,81.0,10.04,2.0,3.32,2.0,1
36,0,0,0.0,77.0,43.08,151.0,15.5,103.0,12.41,2.0,2.27,1.0,0
85,0,0,0.0,81.0,38.25,63.0,15.04,110.0,8.74,2.0,1.92,3.0,0
108,0,0,0.0,99.0,33.75,60.0,22.76,75.0,15.97,3.0,2.54,0.0,1
22,0,0,0.0,107.0,18.75,93.0,14.15,96.0,9.1,5.0,2.57,0.0,0
107,0,1,37.0,102.0,10.2,80.0,8.69,106.0,11.78,3.0,3.0,0.0,0
51,0,0,0.0,94.0,36.52,58.0,12.72,66.0,12.75,5.0,2.75,0.0,0
94,0,0,0.0,85.0,30.91,98.0,17.2,97.0,11.07,2.0,2.48,4.0,0
119,0,1,23.0,114.0,26.18,137.0,23.63,112.0,10.28,4.0,3.19,2.0,0
33,0,1,29.0,99.0,26.76,80.0,10.02,79.0,12.56,11.0,3.75,4.0,1
106,0,0,0.0,91.0,35.34,109.0,14.62,143.0,8.63,7.0,3.89,4.0,0
82,0,0,0.0,90.0,35.19,83.0,19.8,108.0,7.76,8.0,2.46,3.0,0
86,0,1,41.0,101.0,20.23,134.0,19.55,58.0,10.66,3.0,2.57,0.0,0
97,1,0,0.0,117.0,24.43,82.0,23.21,81.0,8.02,3.0,2.94,0.0,0
106,0,1,32.0,126.0,28.2,93.0,18.4,86.0,7.79,8.0,3.81,4.0,0
108,0,0,0.0,122.0,23.56,117.0,14.65,92.0,10.42,3.0,2.65,1.0,0
114,0,0,0.0,118.0,14.4,86.0,21.24,95.0,8.7,8.0,3.92,1.0,0
92,1,0,0.0,111.0,10.64,126.0,15.35,80.0,9.98,2.0,2.81,1.0,1
59,0,0,0.0,79.0,26.38,123.0,20.0,80.0,7.62,4.0,2.35,1.0,0
24,0,1,25.0,110.0,28.03,105.0,17.79,55.0,10.4,9.0,1.81,1.0,0
151,0,0,0.0,88.0,22.87,112.0,12.16,61.0,10.08,1.0,4.16,1.0,0
117,0,0,0.0,103.0,24.36,108.0,17.96,96.0,8.33,3.0,3.11,1.0,0
78,0,0,0.0,110.0,28.61,73.0,18.8,136.0,10.85,1.0,3.38,1.0,0
155,0,0,0.0,55.0,44.61,113.0,16.54,85.0,6.59,6.0,2.24,2.0,0
114,0,1,30.0,79.0,35.05,91.0,22.1,83.0,13.12,6.0,3.08,1.0,0
114,0,1,28.0,94.0,38.39,117.0,16.41,100.0,10.46,9.0,2.27,4.0,0
119,0,0,0.0,89.0,23.51,78.0,14.49,98.0,11.88,6.0,3.65,3.0,0
64,0,1,48.0,104.0,16.05,101.0,11.58,89.0,6.63,4.0,1.22,0.0,0
118,1,0,0.0,123.0,27.2,96.0,14.91,99.0,8.32,3.0,2.67,2.0,0
101,0,0,0.0,105.0,35.12,117.0,19.12,100.0,11.25,3.0,3.94,0.0,0
117,0,0,0.0,121.0,22.9,83.0,15.3,104.0,9.04,3.0,2.08,1.0,0
49,0,1,28.0,78.0,36.45,100.0,19.99,107.0,9.28,13.0,2.16,3.0,0
139,0,0,0.0,104.0,32.78,96.0,19.92,101.0,9.14,3.0,3.51,3.0,0
92,0,1,28.0,90.0,25.69,79.0,16.56,114.0,10.76,3.0,2.7,1.0,0
83,0,0,0.0,103.0,37.64,103.0,19.7,100.0,5.51,5.0,2.65,3.0,0
148,1,0,0.0,88.0,37.21,85.0,17.68,99.0,9.15,4.0,3.0,0.0,0
144,0,1,48.0,96.0,32.27,67.0,10.49,106.0,9.64,2.0,1.76,2.0,1
131,0,1,25.0,85.0,32.76,105.0,19.2,59.0,11.44,6.0,2.94,2.0,0
146,1,0,0.0,135.0,34.75,90.0,18.62,114.0,10.02,6.0,2.84,3.0,0
143,0,0,0.0,97.0,29.29,108.0,14.79,119.0,8.47,4.0,3.51,2.0,0
81,0,0,0.0,93.0,33.73,108.0,17.93,71.0,8.7,6.0,2.81,2.0,0
48,0,1,37.0,115.0,35.99,84.0,13.59,80.0,6.48,1.0,3.29,1.0,0
86,0,1,28.0,74.0,37.67,100.0,24.51,105.0,10.81,2.0,2.43,1.0,0
71,0,0,0.0,108.0,33.64,109.0,15.43,56.0,12.66,5.0,1.81,3.0,0
145,0,1,24.0,90.0,25.08,108.0,14.93,102.0,11.34,3.0,4.21,2.0,0
137,0,0,0.0,122.0,35.09,102.0,10.88,84.0,8.75,5.0,2.38,2.0,0
137,0,0,0.0,88.0,35.0,86.0,17.79,84.0,13.05,4.0,3.92,2.0,0
167,0,0,0.0,88.0,35.29,63.0,11.25,98.0,11.48,5.0,3.81,0.0,0
89,0,0,0.0,95.0,51.66,114.0,22.18,89.0,14.04,3.0,1.43,1.0,1
199,0,1,34.0,121.0,39.2,99.0,18.65,94.0,13.47,2.0,2.16,0.0,0
132,0,0,0.0,110.0,16.92,80.0,10.97,124.0,5.63,3.0,2.62,0.0,0
94,0,0,0.0,112.0,30.11,112.0,16.49,108.0,6.6,4.0,1.59,1.0,0
96,0,1,37.0,93.0,29.36,116.0,10.21,86.0,9.72,5.0,2.78,5.0,1
96,0,1,18.0,86.0,29.36,113.0,11.34,70.0,11.68,3.0,2.65,1.0,0
166,0,0,0.0,115.0,34.71,152.0,15.29,109.0,9.76,5.0,2.57,1.0,0
74,0,0,0.0,83.0,14.57,67.0,21.05,85.0,6.41,5.0,2.73,2.0,0
36,0,0,0.0,117.0,26.79,58.0,15.67,99.0,10.82,1.0,3.21,0.0,0
113,0,0,0.0,129.0,36.64,117.0,18.59,91.0,9.32,9.0,1.78,4.0,0
94,0,0,0.0,98.0,30.86,88.0,16.99,114.0,12.95,5.0,1.78,1.0,0
67,0,0,0.0,80.0,29.19,81.0,9.38,111.0,8.79,4.0,3.21,2.0,0
127,0,0,0.0,106.0,45.32,168.0,22.51,119.0,9.32,2.0,1.59,1.0,1
121,0,0,0.0,108.0,28.97,68.0,29.79,87.0,13.37,3.0,3.02,0.0,1
158,0,0,0.0,106.0,26.86,114.0,24.86,89.0,10.85,4.0,2.46,1.0,0
136,0,0,0.0,117.0,15.64,77.0,21.56,90.0,9.63,10.0,2.78,1.0,0
